DR2Name,_r,_RAJ2000,_DEJ2000,Plx,e_Plx,pmRA,pmDE,Gmag,BP-G,RV
b'Gaia DR2 5334408484688860800', 0.001095, 172.899550,-61.524397,-0.241500, 0.403600,-4.185000, 1.499000, 19.541000,,
b'Gaia DR2 5334408484733443968', 0.001122, 172.898575,-61.525462, 0.349500, 0.053900,-5.881000, 3.264000, 16.577600, 0.495800,
b'Gaia DR2 5334408519048606208', 0.001734, 172.903602,-61.524142, 1.421400, 0.382100,-6.036000, 5.593000, 19.196000, 0.761700,
b'Gaia DR2 5334408484688851072', 0.001777, 172.897179,-61.525259,-0.078300, 0.398700,-6.271000, 1.279000, 19.648400,,
b'Gaia DR2 5334408484688846592', 0.001800, 172.899466,-61.526950, 0.542700, 0.440200,-6.150000, 1.132000, 19.661600,,
b'Gaia DR2 5334408519048606336', 0.001838, 172.904478,-61.524602,-0.008800, 0.119400,-5.839000, 1.448000, 17.699100, 1.533100,
b'Gaia DR2 5334408484688861312', 0.002046, 172.905177,-61.525546,-0.139400, 0.269700,-7.622000, 2.565000, 18.353000, 0.515200,
b'Gaia DR2 5334408484688847744', 0.002213, 172.896451,-61.525909, 0.424200, 0.299000,-6.276000, 1.265000, 19.266600, 0.623400,
b'Gaia DR2 5334408480389549696', 0.002274, 172.899648,-61.527480, 0.047800, 0.275000,-6.852000, 1.324000, 18.812800, 0.766000,
b'Gaia DR2 5334408484688854272', 0.002675, 172.905518,-61.526804, 0.596300, 0.321400,-5.172000, 1.724000, 18.540900, 1.093100,
b'Gaia DR2 5334408484688847232', 0.002703, 172.903060,-61.527791,-0.150400, 0.229900,-6.654000, 2.044000, 18.580500, 0.848600,
b'Gaia DR2 5334408484688854528', 0.002773, 172.896108,-61.523717, 0.775300, 0.402400,-5.534000, 1.834000, 19.172900,-0.056900,
b'Gaia DR2 5334408519048605056', 0.002774, 172.906698,-61.525539,-0.228400, 0.498800,-5.893000, 2.486000, 19.894000, 0.164500,
b'Gaia DR2 5334408484733444608', 0.002946, 172.895220,-61.524133, 0.303300, 0.099100,-5.987000, 1.754000, 17.203700, 1.748700,
b'Gaia DR2 5334408484688857600', 0.003221, 172.906897,-61.526767, 0.025400, 0.410800,-5.313000, 1.083000, 19.686000,,
b'Gaia DR2 5334408519048598272', 0.003266, 172.907518,-61.526165, 0.006700, 0.228200,-7.675000, 1.921000, 18.838900, 0.624500,
b'Gaia DR2 5334408484688842240', 0.003400, 172.894928,-61.527138, 0.116700, 0.357300,-6.017000, 0.185000, 19.381600, 0.341700,
b'Gaia DR2 5334408484733441408', 0.003476, 172.893888,-61.526222, 0.020300, 0.099600,-6.862000, 1.824000, 16.659700, 1.237800,
b'Gaia DR2 5334408519093187712', 0.003554, 172.907758,-61.523894, 0.416300, 0.079600,-4.713000,-0.778000, 17.312800, 0.467900,
b'Gaia DR2 5334408484733444864', 0.003562, 172.894130,-61.523776, 0.338600, 0.474800,-5.704000, 0.162000, 19.729300, 0.924300,
b'Gaia DR2 5334408484688845568', 0.003846, 172.892843,-61.525437, 0.283600, 0.250500,-6.008000, 1.208000, 18.938600, 1.026400,
b'Gaia DR2 5334408519048611712', 0.003938, 172.897536,-61.521693, 0.180000, 0.261300,-5.539000, 2.020000, 18.391800,,
b'Gaia DR2 5334408480388915200', 0.004043, 172.899373,-61.529264, 0.140900, 0.173200,-5.863000, 1.432000, 18.214900, 1.409000,
b'Gaia DR2 5334408484733445120', 0.004226, 172.908623,-61.527390, 0.347300, 0.052900,-8.839000, 2.601000, 16.442600, 0.483700,
b'Gaia DR2 5334408519093187200', 0.004289, 172.896873,-61.521454, 0.090700, 0.100500,-6.240000, 1.539000, 17.083300, 1.618800,
b'Gaia DR2 5334408480407118720', 0.004395, 172.906323,-61.528838, 1.015900, 0.256100,-4.298000, 1.538000, 18.871500, 0.537300,
b'Gaia DR2 5334408484688857728', 0.004532, 172.892581,-61.523093, 0.309300, 0.436200,-5.743000, 1.022000, 19.796100, 1.083300,
b'Gaia DR2 5334408519093187968', 0.004791, 172.910881,-61.524474, 0.903600, 0.034500,-14.321000, 1.400000, 15.672200, 0.605300,
b'Gaia DR2 5334408484733444352', 0.004937, 172.891338,-61.523416,-0.188500, 0.137400,-7.532000, 2.018000, 18.041500, 0.558700,
b'Gaia DR2 5334408519093191680', 0.004943, 172.902983,-61.520436, 0.512400, 0.177300,-13.178000, 0.663000, 18.295100, 0.252000,
b'Gaia DR2 5334408519093191552', 0.005118, 172.901261,-61.520177, 0.669000, 0.176800,-5.857000, 2.394000, 14.950100, 0.271800,
b'Gaia DR2 5334408480388916224', 0.005209, 172.890837,-61.527285,-0.308900, 0.252500,-8.546000, 1.298000, 18.231200, 0.711000,
b'Gaia DR2 5334408484688843264', 0.005310, 172.889771,-61.525538, 0.223200, 0.403000,-5.276000, 0.367000, 19.617000, 1.129100,
b'Gaia DR2 5334408519093187456', 0.005577, 172.894379,-61.520658, 0.338700, 0.148300,-5.788000, 1.529000, 18.099500, 0.421600,
b'Gaia DR2 5334408480388915328', 0.005602, 172.892365,-61.529134, 0.503200, 0.227700,-6.699000, 1.672000, 18.630300, 0.842200,
b'Gaia DR2 5334408519048602496', 0.005637, 172.912325,-61.526749, 0.754800, 0.136700,-7.017000,-1.666000, 17.970700, 0.490600,
b'Gaia DR2 5334408480389551104', 0.005671, 172.908161,-61.529784, 0.083200, 0.117500,-6.041000, 2.248000, 17.853000, 0.646900,
b'Gaia DR2 5334408519048618880', 0.005739, 172.895904,-61.520059,-0.073700, 0.286200,-5.561000,-0.163000, 18.980900, 0.311900,
b'Gaia DR2 5334408484688857856', 0.005902, 172.911959,-61.527960,-0.349800, 0.312900,-8.258000, 1.340000, 19.229300, 0.554000,
b'Gaia DR2 5334408519093192960', 0.005913, 172.911293,-61.522064, 0.692800, 0.295200,-5.724000, 2.295000, 19.149000, 0.951500,
b'Gaia DR2 5334408484733441920', 0.005916, 172.888617,-61.524388, 0.339900, 0.111500,-4.001000,-1.708000, 17.817200, 0.501800,
b'Gaia DR2 5334408519048629248', 0.005920, 172.899006,-61.519429, 0.301700, 0.044000,-4.315000,-0.256000, 15.851200, 0.386800,
b'Gaia DR2 5334408480388593792', 0.005973, 172.904670,-61.530983, 0.088800, 0.068200,-6.018000, 1.402000, 15.987000, 1.935900,
b'Gaia DR2 5334408553408317312', 0.006533, 172.887210,-61.525646,-0.229700, 0.383700,-4.672000, 0.628000, 19.614200, 0.797900,
b'Gaia DR2 5334408519051168896', 0.006678, 172.894176,-61.519431,-0.367100, 0.345600,-5.854000, 1.776000, 19.456600, 0.128100,
