DR2Name,_r,_RAJ2000,_DEJ2000,Plx,e_Plx,pmRA,pmDE,Gmag,BP-G,RV
b'Gaia DR2 5241580909881772672', 0.000215, 160.791577,-62.669904,-0.010600, 0.439200,-2.604000, 1.680000, 19.967700,,
b'Gaia DR2 5241580909860105088', 0.000391, 160.792123,-62.669632, 0.023700, 0.091100,-3.789000, 1.771000, 17.800200, 0.213800,
b'Gaia DR2 5241580909860104832', 0.000668, 160.790153,-62.669329, 0.295100, 0.121000,-5.832000, 0.485000, 17.746800,-0.405800,
b'Gaia DR2 5241580905568457472', 0.001229, 160.793638,-62.670331, 0.075800, 0.213900,-3.752000, 1.514000, 19.129800, 0.288500,
b'Gaia DR2 5241580909860103936', 0.001413, 160.788518,-62.670344,-0.029300, 0.066900,-3.074000, 1.759000, 17.045400, 0.342900,
b'Gaia DR2 5241580909881773440', 0.001687, 160.791932,-62.668073,-0.167900, 0.204300,-2.601000, 1.670000, 19.035100,,
b'Gaia DR2 5241580909881499264', 0.001698, 160.790141,-62.668129,-0.201500, 0.294100,-4.661000, 3.091000, 19.247900,,
b'Gaia DR2 5241580905577469056', 0.001813, 160.794959,-62.669029, 0.770100, 0.374500,-7.352000, 4.704000, 19.835100, 0.031400,
b'Gaia DR2 5241580909860104448', 0.001870, 160.794043,-62.671129, 0.545000, 0.394600,-4.679000, 3.953000, 19.967700,,
b'Gaia DR2 5241580909881773312', 0.001880, 160.793523,-62.668155, 0.060200, 0.024200,-3.364000, 1.687000, 15.134100, 0.241400,
b'Gaia DR2 5241580909881772416', 0.001961, 160.793543,-62.671401, 0.196600, 0.325800,-3.280000, 1.704000, 19.605900,,
b'Gaia DR2 5241580909859589888', 0.002013, 160.789766,-62.667860, 0.121900, 0.130000,-5.791000, 3.721000, 18.326600, 0.260200,
b'Gaia DR2 5241580905577169536', 0.002423, 160.793771,-62.671874, 0.077700, 0.158000,-3.592000, 1.620000, 18.710400, 0.244800,
b'Gaia DR2 5241580909881772160', 0.002475, 160.791016,-62.672204,-0.163200, 0.131300,-3.021000, 1.561000, 18.424300, 0.360000,
b'Gaia DR2 5241580909860103168', 0.002699, 160.788646,-62.672141, 0.169600, 0.330100,-3.440000, 1.418000, 19.694700, 0.221800,
b'Gaia DR2 5241581116018017536', 0.002857, 160.788107,-62.667283,-0.386700, 0.239700,-3.999000, 1.893000, 18.763600,,
b'Gaia DR2 5241581116039918720', 0.002941, 160.784926,-62.669971, 0.210900, 0.132400,-5.027000, 3.199000, 18.433900, 0.531200,
b'Gaia DR2 5241580909881773568', 0.003130, 160.795213,-62.667160, 0.238700, 0.038500,-6.225000, 0.967000, 16.174300, 0.477800,
b'Gaia DR2 5241580909859597440', 0.003208, 160.798279,-62.669675, 0.070500, 0.116400,-2.934000, 1.535000, 18.211000, 0.251800,
b'Gaia DR2 5241580905577175552', 0.003291, 160.789340,-62.672895, 0.066100, 0.406300,-4.646000, 0.923000, 19.920200, 0.167400,
