DR2Name,_r,_RAJ2000,_DEJ2000,Plx,e_Plx,pmRA,pmDE,Gmag,BP-G,RV
b'Gaia DR2 5337514089648355584', 0.000136, 170.884327,-60.532944, 1.132500, 0.364200,-7.670000, 3.555000, 19.443800,,
b'Gaia DR2 5337514089648356096', 0.000498, 170.883461,-60.533385, 0.113000, 0.109400,-6.829000, 1.933000, 17.761500, 0.249800,
b'Gaia DR2 5337514089648358656', 0.000783, 170.883778,-60.532322, 0.481200, 0.411200,-8.927000, 2.152000, 19.644800,,
b'Gaia DR2 5337514089690148352', 0.001310, 170.884650,-60.531773, 0.089900, 0.046100,-6.673000, 2.000000, 16.352000, 0.924900,
b'Gaia DR2 5337514085339570304', 0.001450, 170.883334,-60.534443,-0.091900, 0.095000,-7.124000, 1.111000, 17.472400, 0.311000,
b'Gaia DR2 5337514089648344832', 0.001509, 170.882404,-60.531861, 0.512500, 0.109700,-6.209000, 2.824000, 17.145800,,
b'Gaia DR2 5337514089690145664', 0.001602, 170.883818,-60.534661,-0.162000, 0.190200,-5.764000, 2.938000, 18.039700,,
b'Gaia DR2 5337514089648365440', 0.001714, 170.886624,-60.534319, 0.426300, 0.259300,-6.028000, 2.711000, 19.178000, 0.500800,
b'Gaia DR2 5337514089690144768', 0.001872, 170.881400,-60.531820, 0.034500, 0.032000,-6.529000, 1.723000, 15.410600, 0.622100,
b'Gaia DR2 5337514089648377600', 0.001913, 170.887277,-60.531871, 0.101600, 0.161900,-6.715000, 1.792000, 18.502600,,
b'Gaia DR2 5337514089690144256', 0.001933, 170.880311,-60.533120, 0.195700, 0.131500,-6.545000, 2.174000, 17.457300, 0.493900,
b'Gaia DR2 5337514089648341760', 0.001972, 170.880270,-60.532854, 0.596900, 0.428800,-8.429000, 1.618000, 19.528700,,
b'Gaia DR2 5337514089648376704', 0.001984, 170.888273,-60.533013,-0.021700, 0.138500,-6.704000, 0.913000, 18.273000, 0.562100,
b'Gaia DR2 5337514089648350208', 0.002074, 170.884763,-60.535126, 0.440100, 0.201800,-6.276000, 2.021000, 18.731200, 0.102200,
b'Gaia DR2 5337514085342833280', 0.002131, 170.886305,-60.531180, 0.610200, 0.051600,-7.327000,-0.937000, 16.558600, 0.444100,
b'Gaia DR2 5337514089648380032', 0.002382, 170.888332,-60.531800, 0.325400, 0.117500,-5.894000, 2.188000, 17.859900, 0.442800,
b'Gaia DR2 5337514089648379904', 0.002648, 170.888290,-60.531321,-0.111300, 0.198700,-6.671000, 1.718000, 18.629100,,
b'Gaia DR2 5337514089648335872', 0.003009, 170.878311,-60.532306, 0.200200, 0.249700,-5.008000, 3.043000, 18.958400, 0.614800,
