DR2Name,_r,_RAJ2000,_DEJ2000,Plx,e_Plx,pmRA,pmDE,Gmag,BP-G,RV
b'Gaia DR2 5309597759984063872', 0.000664, 144.838640,-52.250577, 0.197500, 0.196000,-4.240000, 3.259000, 18.684800, 0.919600,
b'Gaia DR2 5309597764295194496', 0.002008, 144.840623,-52.248384,-0.353800, 0.460700,-1.934000, 2.353000, 19.617300, 0.708600,
b'Gaia DR2 5309597759984068096', 0.002629, 144.841996,-52.248106,-0.081100, 0.195200,-4.574000, 3.412000, 18.490100, 1.026600,
b'Gaia DR2 5309597764303764864', 0.002798, 144.836753,-52.252478, 0.147300, 0.116400,-4.135000, 3.749000, 17.856300, 0.826300,
b'Gaia DR2 5309597759984071040', 0.003475, 144.834013,-52.249802, 0.250400, 0.247600,-5.391000, 3.457000, 18.769800, 0.931800,
b'Gaia DR2 5309597759984070912', 0.003582, 144.834018,-52.251313, 0.025100, 0.103100,-5.050000, 3.342000, 17.659400, 0.883300,
b'Gaia DR2 5309597759984070528', 0.003772, 144.835658,-52.253184, 0.146700, 0.032400,-4.522000, 3.419000, 15.410100, 0.912200,
b'Gaia DR2 5309597008389522432', 0.004037, 144.845138,-52.252509, 0.050100, 0.166600,-4.279000, 3.111000, 17.643200,,
b'Gaia DR2 5309597107149037824', 0.004220, 144.846037,-52.248737, 0.458400, 0.336200,-5.914000, 3.864000, 19.101200, 0.959100,
b'Gaia DR2 5309597764303765632', 0.004430, 144.832967,-52.248562, 0.197400, 0.072400,-4.474000, 3.383000, 16.981500, 0.889400,
b'Gaia DR2 5309597759984071168', 0.004850, 144.831810,-52.251057, 0.404900, 0.217500,-6.183000, 4.682000, 18.670300, 1.044400,
b'Gaia DR2 5309597759984078592', 0.005021, 144.837435,-52.245514, 1.096700, 0.068900,-13.078000, 13.592000, 16.652700, 0.710300,
b'Gaia DR2 5309597764303763968', 0.005269, 144.833984,-52.254278, 0.041900, 0.085900,-4.712000, 3.661000, 17.329700,,
b'Gaia DR2 5309597764303764096', 0.005338, 144.832970,-52.253747, 0.067500, 0.065400,-4.443000, 3.373000, 16.840100, 0.937100,
b'Gaia DR2 5309597004069809024', 0.005427, 144.839384,-52.255724,-0.226900, 0.208000,-4.760000, 3.496000, 18.659400, 0.814500,
b'Gaia DR2 5309597863063293824', 0.006083, 144.843529,-52.244708, 0.707000, 0.077300,-8.003000, 5.691000, 16.967500, 0.605300,
b'Gaia DR2 5309597764303763584', 0.006113, 144.832556,-52.254604, 0.337500, 0.065800,-8.837000, 4.961000, 16.833000, 0.613600,
b'Gaia DR2 5309597004069807744', 0.006529, 144.844773,-52.256035, 0.593900, 0.198800,-7.441000, 6.259000, 18.389000, 0.924900,
b'Gaia DR2 5309597764295184768', 0.006648, 144.829956,-52.253345,-0.135800, 0.482700,-2.217000, 3.763000, 19.717600, 0.712800,
b'Gaia DR2 5309597759984071296', 0.006669, 144.829301,-52.252429, 0.166500, 0.279400,-5.235000, 6.433000, 19.100900, 0.909400,
b'Gaia DR2 5309597863073854080', 0.006703, 144.841575,-52.243699, 0.038200, 0.357800,-3.769000, 2.540000, 19.366800, 0.840600,
b'Gaia DR2 5309597008389520128', 0.006717, 144.840714,-52.256981, 0.084100, 0.103400,-4.149000, 3.332000, 17.482300, 0.839900,
b'Gaia DR2 5309597004069813888', 0.006945, 144.848433,-52.254674,-0.060300, 0.189200,-3.947000, 4.026000, 18.461200, 0.884600,
b'Gaia DR2 5309597004069813632', 0.007030, 144.850074,-52.253213, 0.102400, 0.119800,-4.639000, 3.098000, 17.669900, 0.957400,
b'Gaia DR2 5309597759984071808', 0.007206, 144.828820,-52.247426,-0.226900, 0.397500,-3.666000, 2.069000, 19.475600, 0.685600,
b'Gaia DR2 5309597759984049920', 0.007618, 144.834018,-52.257107, 0.562500, 0.224800,-3.789000, 5.017000, 18.641800, 0.803800,
b'Gaia DR2 5309597759984055808', 0.007813, 144.829178,-52.254800, 0.147100, 0.234400,-3.773000, 5.655000, 18.817400, 1.079100,
b'Gaia DR2 5309597004069813760', 0.007893, 144.850292,-52.254751, 0.280800, 0.180400,-6.222000, 5.358000, 18.362900, 0.802000,
b'Gaia DR2 5309597004070251648', 0.008025, 144.845363,-52.257517,-0.236700, 0.452700,-4.856000, 4.206000, 19.606600, 0.770700,
b'Gaia DR2 5309597004069803264', 0.008365, 144.843888,-52.258241,-0.266800, 0.345100,-4.118000, 2.611000, 19.167100, 0.930900,
b'Gaia DR2 5309597759984081920', 0.009363, 144.834816,-52.241412, 0.646400, 0.486900,-3.222000, 4.348000, 19.876600, 0.732400,
b'Gaia DR2 5309597107149049472', 0.009566, 144.850121,-52.243222, 0.449800, 0.379700,-2.979000, 4.424000, 19.498900, 0.893400,
b'Gaia DR2 5309597004069796352', 0.010275, 144.837440,-52.260487, 0.196200, 0.392700,-4.622000, 3.915000, 19.523400, 0.841600,
b'Gaia DR2 5309597729935442304', 0.010287, 144.828115,-52.257768, 0.229000, 0.267900,-14.719000, 7.207000, 18.795000, 0.477900,
b'Gaia DR2 5309597759984082688', 0.010377, 144.830212,-52.241663, 0.608300, 0.318600,-3.818000, 2.450000, 19.157300, 0.966800,
b'Gaia DR2 5309597107149041408', 0.010445, 144.856072,-52.247443, 0.341900, 0.130900,-9.340000, 2.622000, 17.788500, 0.646100,
b'Gaia DR2 5309597863063300864', 0.010478, 144.845419,-52.240441, 0.270800, 0.373200,-4.888000, 4.047000, 19.372100, 0.781200,
b'Gaia DR2 5309597725624316672', 0.010505, 144.830277,-52.259109,-0.256800, 0.289100,-4.368000, 3.594000, 19.019000, 0.590000,
b'Gaia DR2 5309597111460165632', 0.010698, 144.854870,-52.255520, 0.660700, 0.161600,-4.033000, 2.409000, 18.179800, 0.731800,
b'Gaia DR2 5309597729944024448', 0.010971, 144.822724,-52.253935, 0.980200, 0.498300,-4.456000, 0.744000, 19.807500, 0.711800,
b'Gaia DR2 5309597725624316416', 0.011090, 144.827314,-52.258422, 0.262700, 0.089100,-3.848000,-0.038000, 17.193100, 0.729900,
b'Gaia DR2 5309597107149023360', 0.011131, 144.855775,-52.255410, 0.178000, 0.111800,-4.464000, 3.180000, 17.632400, 0.681400,
b'Gaia DR2 5309597004069794688', 0.011135, 144.843570,-52.261164, 0.544400, 0.406200,-2.480000, 3.018000, 19.601800, 0.978900,
b'Gaia DR2 5309597764303765760', 0.011263, 144.824542,-52.243859, 0.205100, 0.156300,-5.905000, 3.530000, 18.204500, 1.409400,
b'Gaia DR2 5309597863063300736', 0.011490, 144.846902,-52.239709, 0.530300, 0.312500,-4.192000, 3.541000, 19.100300, 0.927800,
