Name;Plx_est;PMRA_est;PMDe_est
Loden 143                   ;  0.36;  -5.86;   2.55
Ruprecht 159                ;  0.26;  -4.61;   3.50
Ruprecht 163                ;  0.30;  -6.40;   2.27
Ruprecht 89                 ;  0.39;  -7.02;   3.27
Ruprecht 90                 ;  0.39;  -6.60;   2.87
