DR2Name,_r,_RAJ2000,_DEJ2000,Plx,e_Plx,pmRA,pmDE,Gmag,BP-G,RV
b'Gaia DR2 5355390499439565696', 0.000167, 156.838208,-55.111273, 0.054100, 0.106000,-5.247000, 2.931000, 17.749900,,
b'Gaia DR2 5355390499439565824', 0.000501, 156.837518,-55.111293, 0.832300, 0.171000,-3.491000, 2.640000, 18.256600,,
b'Gaia DR2 5355390499439565440', 0.000665, 156.837821,-55.110824,-0.024400, 0.050800,-4.991000, 2.932000, 16.249300, 0.336200,
b'Gaia DR2 5355390499439566464', 0.001502, 156.836524,-55.110348, 0.527300, 0.125800,-5.655000, 3.122000, 18.078900, 0.440100,
b'Gaia DR2 5355390499439571328', 0.001566, 156.837970,-55.109858, 0.340700, 0.178200,-4.145000, 2.986000, 18.461700, 0.346400,
b'Gaia DR2 5355390499439560192', 0.001852, 156.835263,-55.111917, 0.218200, 0.165800,-4.233000, 4.119000, 18.504100, 0.209400,
b'Gaia DR2 5355390293281129472', 0.002103, 156.838262,-55.113516, 0.144600, 0.314500,-4.499000, 4.898000, 19.245200, 0.346300,
b'Gaia DR2 5355390293302019328', 0.002156, 156.841934,-55.112106, 0.528800, 0.027600,-3.715000, 0.982000, 14.915700, 0.377100,
b'Gaia DR2 5355390293302019840', 0.002262, 156.842295,-55.111080,-0.104600, 0.074700,-4.833000, 2.849000, 16.475300, 0.414200,
b'Gaia DR2 5355390293302018432', 0.002346, 156.841026,-55.113194,-0.394900, 0.176500,-4.340000, 2.209000, 17.630000, 0.304600,
b'Gaia DR2 5355390288978744704', 0.002533, 156.840933,-55.109331, 0.164300, 0.183200,-4.686000, 1.801000, 18.599300, 0.603600,
b'Gaia DR2 5355390499460446080', 0.002648, 156.836520,-55.113832, 0.140800, 0.066400,-4.745000, 3.001000, 16.987900, 0.351900,
b'Gaia DR2 5355390293281131520', 0.002648, 156.839749,-55.113939, 0.074100, 0.143400,-4.765000, 3.651000, 18.137100, 0.318700,
b'Gaia DR2 5355390499460450432', 0.002655, 156.838214,-55.108752, 0.024400, 0.072700,-4.950000, 2.823000, 17.064400, 0.409300,
b'Gaia DR2 5355390293281145856', 0.003166, 156.843786,-55.110719, 0.075200, 0.162400,-4.888000, 2.752000, 18.499300, 0.362400,
b'Gaia DR2 5355390293281147776', 0.003288, 156.843061,-55.109496, 0.279100, 0.135600,-4.917000, 2.930000, 18.210700, 0.436200,
b'Gaia DR2 5355390499460448384', 0.003359, 156.833580,-55.109474, 0.129500, 0.063800,-5.048000, 3.086000, 16.854200, 0.283500,
b'Gaia DR2 5355390499439568128', 0.003420, 156.834237,-55.108940, 0.017200, 0.084200,-4.777000, 2.961000, 17.336700, 0.332900,
b'Gaia DR2 5355390499460445824', 0.003426, 156.832484,-55.111998, 0.079100, 0.122800,-5.087000, 2.911000, 18.110200, 0.398100,
b'Gaia DR2 5355390499439552768', 0.003480, 156.834201,-55.113920, 0.595200, 0.165700,-7.549000, 2.292000, 18.563400, 0.371500,
b'Gaia DR2 5355390499439552384', 0.003548, 156.834939,-55.114334, 0.737100, 0.453800,-10.726000, 1.551000, 17.519600,-0.145000,
b'Gaia DR2 5355390293281128064', 0.003598, 156.840362,-55.114828,-0.180200, 0.407200,-6.768000, 3.744000, 19.680500, 0.535700,
b'Gaia DR2 5355390499439552512', 0.003638, 156.835287,-55.114577, 0.051300, 0.164000,-5.369000, 1.489000, 17.782700,,
b'Gaia DR2 5355390288980031744', 0.004029, 156.843788,-55.113990, 0.285200, 0.110200,-5.021000, 2.982000, 17.808800, 0.401500,
b'Gaia DR2 5355390499460449664', 0.004118, 156.834547,-55.107922, 0.038500, 0.047900,-4.838000, 3.066000, 16.271500, 0.450500,
b'Gaia DR2 5355390495148962432', 0.004447, 156.832848,-55.114531, 0.566000, 0.187400,-6.551000, 4.849000, 18.757000, 0.526200,
b'Gaia DR2 5355390293281136640', 0.004818, 156.844783,-55.114554,-0.477800, 0.292300,-6.994000, 4.185000, 19.048200, 0.484000,
b'Gaia DR2 5355390499460443776', 0.004950, 156.832570,-55.115085, 1.102600, 0.316100,-4.096000, 4.962000, 18.516600, 0.093700,
b'Gaia DR2 5355390602539667968', 0.005173, 156.840026,-55.106316, 0.166500, 0.110400,-6.357000, 2.352000, 17.785900, 0.498800,
b'Gaia DR2 5355390293302019584', 0.005181, 156.846377,-55.113843, 0.072400, 0.050000,-4.986000, 2.930000, 16.318200, 0.805000,
b'Gaia DR2 5355390396381238144', 0.005272, 156.846815,-55.109272, 0.882200, 0.060300,-5.155000, 2.382000, 16.540200, 0.469300,
