DR2Name,_r,_RAJ2000,_DEJ2000,Plx,e_Plx,pmRA,pmDE,Gmag,BP-G,RV
b'Gaia DR2 5338690910725516416', 0.001479, 165.126772,-58.842678,-0.023100, 0.186500,-9.616000, 5.586000, 18.148700, 0.365300,
b'Gaia DR2 5338690910697110144', 0.001925, 165.127311,-58.843041, 0.052600, 0.135500,-6.360000, 2.554000, 18.114600, 0.646000,
b'Gaia DR2 5338690910725517696', 0.003165, 165.129602,-58.843474,-0.018500, 0.090300,-6.344000, 2.270000, 17.209700, 1.236200,
b'Gaia DR2 5338690910725518720', 0.003476, 165.130553,-58.843125, 0.102300, 0.095200,-6.027000, 0.251000, 17.684200, 0.618600,
b'Gaia DR2 5338690876337347328', 0.003619, 165.117929,-58.843524, 0.141200, 0.116500,-6.649000, 2.411000, 17.831000, 1.120800,
b'Gaia DR2 5338690910725512576', 0.004467, 165.128614,-58.845802, 1.081400, 0.136200,-2.169000, 3.446000, 16.363400, 0.675600,
b'Gaia DR2 5338690906380890240', 0.004562, 165.125800,-58.837475, 0.536600, 0.137300,-10.525000, 4.577000, 18.067500, 0.467500,
b'Gaia DR2 5338690906374738688', 0.005153, 165.132797,-58.839331,-0.183600, 0.132200,-5.976000, 2.421000, 18.135500, 0.821200,
b'Gaia DR2 5338690910725523072', 0.005411, 165.122167,-58.836651, 0.241200, 0.023300,-4.761000, 2.050000, 14.573200, 0.249200,
b'Gaia DR2 5338690876365767808', 0.005680, 165.120252,-58.847251, 0.110900, 0.075900,-5.733000, 1.942000, 17.260700, 0.368200,
b'Gaia DR2 5338690910725512064', 0.005911, 165.131790,-58.846422, 0.562700, 0.024100,-10.167000, 6.045000, 14.731800, 0.659500,
b'Gaia DR2 5338690910725526528', 0.005997, 165.131485,-58.837280, 0.379700, 0.093300,-7.465000, 3.158000, 17.642800, 0.506400,
b'Gaia DR2 5338690876365771008', 0.006191, 165.112275,-58.841748, 0.138800, 0.122100,-6.259000, 2.217000, 17.995700, 1.093200,
b'Gaia DR2 5338690876365771904', 0.006265, 165.129624,-58.847567,-0.117700, 0.076700,-6.300000, 2.180000, 16.941700, 1.435500,
b'Gaia DR2 5338690910725510784', 0.006418, 165.130973,-58.847333, 0.416500, 0.102200,-2.778000, 1.711000, 17.757000, 0.341100,
b'Gaia DR2 5338690906374674688', 0.006425, 165.136523,-58.842872, 0.204500, 0.119700,-5.966000, 3.477000, 17.926500, 0.612000,
b'Gaia DR2 5338690876365773312', 0.006436, 165.112413,-58.839955, 0.134000, 0.115000,-6.209000, 2.498000, 17.865200, 1.074200,
b'Gaia DR2 5338690910697150080', 0.006965, 165.125212,-58.835020, 0.199900, 0.076100,-9.499000, 4.466000, 17.237100, 0.390800,
b'Gaia DR2 5338690876365768704', 0.007102, 165.110842,-58.843515, 0.461100, 0.149300,-6.363000, 2.502000, 17.858500, 0.930200,
b'Gaia DR2 5338690906374536576', 0.007213, 165.126166,-58.834814, 0.010000, 0.128800,-6.200000, 2.163000, 17.919300,,
b'Gaia DR2 5338690841977669632', 0.007559, 165.138694,-58.840806, 0.397400, 0.063300,-8.706000, 1.704000, 16.863600, 0.451300,
b'Gaia DR2 5338690876337351552', 0.007588, 165.110100,-58.839886, 0.105300, 0.148800,-3.266000, 1.820000, 18.224100, 0.295500,
b'Gaia DR2 5338690910725516544', 0.007812, 165.112067,-58.837329, 0.009000, 0.105200,-6.001000, 2.044000, 17.742700, 1.130500,
b'Gaia DR2 5338690876365764224', 0.007815, 165.112137,-58.846637,-0.018700, 0.130100,-6.330000, 2.298000, 18.050500, 1.133900,
b'Gaia DR2 5338690876365767296', 0.007855, 165.109320,-58.843422,-0.189600, 0.198400,-6.450000, 1.979000, 18.128200, 0.708100,
b'Gaia DR2 5338690842006044032', 0.007991, 165.138742,-58.844699, 0.265800, 0.076600,-6.424000, 2.188000, 16.730900, 1.494600,
b'Gaia DR2 5338690910725523968', 0.008024, 165.117983,-58.834621, 0.198300, 0.036000,-7.686000, 3.398000, 15.788000, 0.421000,
b'Gaia DR2 5338690876337333248', 0.008195, 165.108590,-58.843259, 0.119400, 0.164100,-6.010000, 4.434000, 18.115200, 0.414800,
b'Gaia DR2 5338690876365772800', 0.008737, 165.108519,-58.838760, 0.333200, 0.019000,-6.329000, 2.142000, 13.714100, 0.197500,
b'Gaia DR2 5338690837661416448', 0.008767, 165.140981,-58.840670, 0.207300, 0.131400,-4.793000, 2.390000, 18.065400, 0.676900,
b'Gaia DR2 5338690842006048512', 0.008879, 165.141374,-58.842380, 0.201100, 0.080400,-6.275000, 1.966000, 16.879700, 1.439000,
b'Gaia DR2 5338690872014935168', 0.009253, 165.130895,-58.850555, 0.354900, 0.115800,-9.096000, 3.475000, 17.850400, 0.538300,
b'Gaia DR2 5338691009453891200', 0.009329, 165.135571,-58.834700, 0.339900, 0.110800,-7.423000, 2.298000, 17.844100, 0.617100,
b'Gaia DR2 5338690876365761536', 0.009510, 165.111542,-58.848844, 0.143400, 0.096100,-5.842000, 3.312000, 17.395700, 1.202500,
b'Gaia DR2 5338690842006037120', 0.009917, 165.138208,-58.848741, 0.166800, 0.123100,-5.513000, 1.990000, 17.761500, 1.209500,
b'Gaia DR2 5338690876365764352', 0.010210, 165.104827,-58.843799, 0.203500, 0.023900,-6.775000, 2.085000, 14.680300, 0.857600,
b'Gaia DR2 5338690876365760384', 0.010299, 165.110224,-58.849283, 0.670900, 0.220400,-5.690000, 3.535000, 18.093700, 0.488100,
b'Gaia DR2 5338690876365762560', 0.010862, 165.104364,-58.845416, 0.395000, 0.116900,-10.684000, 3.868000, 17.631400, 0.793700,
b'Gaia DR2 5338690940734476928', 0.011015, 165.144770,-58.839067, 0.240000, 0.170200,-5.798000, 2.803000, 18.174300, 1.281100,
b'Gaia DR2 5338691082495764992', 0.011159, 165.102799,-58.840729,-0.118300, 0.129100,-6.518000, 2.105000, 17.926200, 0.948000,
b'Gaia DR2 5338690876337316224', 0.011200, 165.103434,-58.845069, 0.103300, 0.073700,-5.728000, 2.340000, 17.061300, 1.250800,
b'Gaia DR2 5338690876337303808', 0.011316, 165.108698,-58.849921, 0.381500, 0.102300,-7.262000, 2.613000, 17.725100, 0.490700,
b'Gaia DR2 5338690876337300608', 0.011585, 165.112764,-58.851910,-0.141700, 0.143800,-6.079000, 2.669000, 18.147800,,
b'Gaia DR2 5338691112533106432', 0.011600, 165.105830,-58.835331, 0.063700, 0.106900,-5.866000, 2.266000, 17.736700, 1.048100,
b'Gaia DR2 5338690872014792320', 0.011696, 165.113486,-58.852248, 0.182000, 0.118700,-5.143000, 1.554000, 17.976400, 0.236100,
b'Gaia DR2 5338690945085269504', 0.012049, 165.145728,-58.837319, 0.487600, 0.067600,-6.308000, 1.413000, 16.961400, 0.528900,
b'Gaia DR2 5338690872014997888', 0.012190, 165.121283,-58.854049, 0.183700, 0.148600,-5.108000, 1.270000, 18.169300, 1.429000,
b'Gaia DR2 5338690807646496000', 0.012442, 165.137977,-58.852161, 0.292800, 0.034000,-4.816000, 1.575000, 15.711900, 0.571000,
b'Gaia DR2 5338690807646288512', 0.012472, 165.132852,-58.853600, 0.107800, 0.092100,-4.257000, 1.746000, 17.418900, 0.523800,
b'Gaia DR2 5338690837655054976', 0.012489, 165.145598,-58.847746, 0.234100, 0.094900,-4.079000, 0.422000, 17.669000, 0.449000,
b'Gaia DR2 5338690876365762816', 0.012546, 165.128551,-58.854285, 0.139600, 0.159300,-4.675000,-1.492000, 18.252100, 0.490900,
b'Gaia DR2 5338690841977640576', 0.012637, 165.145321,-58.848365, 0.052600, 0.143600,-10.318000, 2.433000, 18.306800, 0.393600,
b'Gaia DR2 5338690872014791296', 0.013153, 165.116635,-58.854509, 0.337700, 0.031800,-7.870000, 2.581000, 15.451300, 0.428900,
b'Gaia DR2 5338690910697151616', 0.013234, 165.113753,-58.829889, 0.344600, 0.040100,-5.529000, 3.219000, 16.031700, 0.374700,
b'Gaia DR2 5338690910725526784', 0.013425, 165.113039,-58.829855, 0.905000, 0.097700,-10.465000, 2.160000, 17.410100,,
b'Gaia DR2 5338690841977651584', 0.013454, 165.147858,-58.847585,-0.483200, 0.192800,-6.494000, 2.435000, 18.331200, 0.657900,
b'Gaia DR2 5338691009453956352', 0.013757, 165.131752,-58.828760, 0.149700, 0.159200,-5.919000, 1.759000, 18.228700, 0.979300,
b'Gaia DR2 5338690803295314432', 0.013774, 165.137847,-58.853795, 0.147500, 0.110600,-5.552000, 2.735000, 17.954000, 0.547500,
b'Gaia DR2 5338691013804747392', 0.013786, 165.124286,-58.828171, 0.157900, 0.127400,-6.258000, 1.930000, 18.093800, 0.368200,
b'Gaia DR2 5338691082524199424', 0.014224, 165.097796,-58.838060, 0.171800, 0.085000,-6.044000, 2.525000, 17.190700, 1.033400,
b'Gaia DR2 5338690945056912000', 0.014296, 165.151593,-58.839904,-0.053300, 0.330700,-8.389000, 3.202000, 16.988800,,
b'Gaia DR2 5338690940734273408', 0.014317, 165.151452,-58.839519, 0.410400, 0.030000,-0.902000, 3.768000, 12.747400, 0.901800, 22.590000
b'Gaia DR2 5338690876365757696', 0.014459, 165.124221,-58.856414, 0.358800, 0.100100,-5.680000, 1.702000, 17.735100, 0.515100,
b'Gaia DR2 5338691013804750208', 0.014715, 165.127981,-58.827370, 0.771800, 0.087900,-9.430000, 2.403000, 14.484800,,
b'Gaia DR2 5338691009453709056', 0.015084, 165.128096,-58.827006, 0.595600, 0.029900,-9.836000, 2.660000, 11.982600, 0.251800,-15.530000
b'Gaia DR2 5338689394546041984', 0.015165, 165.107000,-58.854231, 0.364600, 0.068800,-6.425000, 3.753000, 17.027000, 0.502800,
b'Gaia DR2 5338691013776397952', 0.015192, 165.121635,-58.826824, 0.049300, 0.115900,-5.885000, 2.004000, 17.904900, 0.342900,
b'Gaia DR2 5338691009453892480', 0.015242, 165.137186,-58.828274, 0.196000, 0.140300,-4.135000, 2.436000, 18.171800, 0.642500,
b'Gaia DR2 5338691082524194048', 0.015419, 165.094529,-58.840685, 0.284300, 0.077500,-5.740000, 2.081000, 17.127500, 0.591100,
b'Gaia DR2 5338689394546185216', 0.015673, 165.101838,-58.852506, 0.133200, 0.097400,-5.829000, 0.391000, 17.661600, 0.531900,
b'Gaia DR2 5338690876337291392', 0.015864, 165.123254,-58.857809, 0.244000, 0.154600,-4.165000, 1.120000, 18.313700, 0.459900,
b'Gaia DR2 5338690807646287744', 0.015934, 165.138204,-58.856165, 0.142300, 0.084300,-9.469000, 2.036000, 17.491900, 0.419500,
b'Gaia DR2 5338690842006038528', 0.015984, 165.148748,-58.851687, 0.607300, 0.082800,-6.444000, 2.341000, 17.211700, 0.527700,
b'Gaia DR2 5338690803295313280', 0.016112, 165.131168,-58.857664, 0.275200, 0.049300,-4.895000, 2.251000, 16.342500, 0.300500,
b'Gaia DR2 5338690940734273280', 0.016214, 165.155573,-58.841782, 0.552200, 0.017800,-6.846000, 2.052000, 13.307900, 0.186800,
b'Gaia DR2 5338690945085276288', 0.016256, 165.150509,-58.833058, 0.578600, 0.028900,-6.334000, 4.727000, 15.183000, 0.604600,
b'Gaia DR2 5338690945056942336', 0.016541, 165.152500,-58.834236, 0.003000, 0.158700,-6.240000, 2.712000, 18.219400, 0.435900,
b'Gaia DR2 5338689600704475392', 0.016662, 165.093365,-58.846718, 0.264400, 0.022800,-5.761000, 2.641000, 14.665100, 0.859600,
b'Gaia DR2 5338691116855547264', 0.016906, 165.099310,-58.831033, 0.229000, 0.097200,-6.225000, 3.383000, 17.704600, 0.424800,
b'Gaia DR2 5338689394546183552', 0.016984, 165.115779,-58.858372,-0.059300, 0.097500,-6.409000, 2.873000, 17.551200, 1.240600,
b'Gaia DR2 5338691013804754688', 0.016989, 165.136865,-58.826272, 0.128300, 0.089300,-4.819000, 0.754000, 17.480200, 0.474300,
b'Gaia DR2 5338690841977670912', 0.017134, 165.155930,-58.846922, 0.267200, 0.144600,-6.013000, 2.930000, 18.205500, 0.491700,
b'Gaia DR2 5338689605026972160', 0.017141, 165.092123,-58.846036, 0.836000, 0.121800,-14.548000, 2.671000, 18.071600, 0.544600,
b'Gaia DR2 5338690876365756032', 0.017155, 165.128214,-58.859007, 0.582500, 0.059600,-1.485000, 7.267000, 16.744300, 0.516300,
