DR2Name,_r,_RAJ2000,_DEJ2000,Plx,e_Plx,pmRA,pmDE,Gmag,BP-G,RV
b'Gaia DR2 5299426216588812416', 0.001185, 140.033287,-60.403413, 0.221700, 0.019700,-4.660000, 2.486000, 14.332200, 0.670700,
b'Gaia DR2 5299426216588812928', 0.001566, 140.038637,-60.404012, 0.254800, 0.015400,-5.115000, 3.052000, 13.601800, 0.729900,
b'Gaia DR2 5299426422747241984', 0.003222, 140.030032,-60.405698, 0.257200, 0.046700,-4.027000, 4.154000, 15.964700, 0.354400,
b'Gaia DR2 5299426216588812800', 0.004397, 140.040921,-60.407380, 0.154000, 0.022400,-3.549000, 3.136000, 14.847700, 0.739800,
b'Gaia DR2 5299426422747242112', 0.005428, 140.025322,-60.401930, 0.413200, 0.086100,-12.179000, 9.642000, 17.222800, 0.459500,
b'Gaia DR2 5299426422747385216', 0.005432, 140.027256,-60.400322, 0.660600, 0.033200,-5.933000, 7.989000, 15.643500, 0.366000,
b'Gaia DR2 5299426250948552832', 0.006860, 140.049264,-60.404717, 0.363700, 0.103400,-4.719000, 4.765000, 17.465400, 0.474200,
b'Gaia DR2 5299426250948553216', 0.007613, 140.042848,-60.397215, 0.396200, 0.120800,-9.704000, 3.696000, 15.603000, 0.502000,
b'Gaia DR2 5299426422747240704', 0.007820, 140.019662,-60.404429, 0.246700, 0.080600,-3.694000, 3.497000, 17.071200, 0.343900,
b'Gaia DR2 5299426250948553600', 0.007892, 140.044673,-60.397466, 0.240700, 0.080400,-8.295000, 7.826000, 17.157400, 0.368400,
b'Gaia DR2 5299426250948695552', 0.008005, 140.051646,-60.403500, 0.311300, 0.034700,-3.522000, 2.935000, 15.767600, 0.610300,
b'Gaia DR2 5299426216588813824', 0.009006, 140.051188,-60.408506, 0.287100, 0.047400,-7.617000, 5.393000, 15.986600, 0.359900,
b'Gaia DR2 5299426250948554112', 0.011037, 140.055572,-60.399041, 1.802900, 0.071800,-10.666000, 4.282000, 16.672400, 0.792400,
b'Gaia DR2 5299426418439074304', 0.011196, 140.014027,-60.400278, 0.397100, 0.132200,-4.605000, 3.951000, 17.783700, 0.558200,
b'Gaia DR2 5299420341073548672', 0.011459, 140.026612,-60.414502, 0.313800, 0.057700,-6.476000, 4.546000, 16.416000, 0.319700,
b'Gaia DR2 5299426250948553856', 0.011746, 140.059271,-60.404309, 0.308800, 0.068300,-8.308000, 6.551000, 16.761300, 0.395700,
b'Gaia DR2 5299426246640371840', 0.012212, 140.059265,-60.407329, 0.645800, 0.077600,-11.090000, 4.152000, 17.084100, 0.434800,
