DR2Name,_r,_RAJ2000,_DEJ2000,Plx,e_Plx,pmRA,pmDE,Gmag,BP-G,RV
b'Gaia DR2 5351473454926338048', 0.000113, 157.749995,-58.457056, 1.650700, 0.032500,-13.679000, 4.135000, 12.903700, 0.346800,
b'Gaia DR2 5351473278814895360', 0.005675, 157.758139,-58.453137, 0.594600, 0.032600,-14.010000, 3.519000, 12.017400, 0.292300, 7.460000
b'Gaia DR2 5351473278802281344', 0.005790, 157.759116,-58.453635, 0.222500, 0.033300,-5.407000, 2.841000, 12.370600, 0.107700,
b'Gaia DR2 5351473592365313792', 0.019285, 157.749098,-58.437690, 0.731400, 0.028800,-8.202000, 4.715000, 12.111300, 0.091300,
b'Gaia DR2 5351473076969180928', 0.019896, 157.718182,-58.467752, 2.158600, 0.021200,-14.194000, 1.356000, 13.944300, 0.444000,
b'Gaia DR2 5351473588039924736', 0.021333, 157.760563,-58.436349, 0.227500, 0.038800,-7.158000, 3.638000, 10.911400, 0.739300, 10.080000
b'Gaia DR2 5351473145688669184', 0.021716, 157.708768,-58.454898, 0.418800, 0.032200,-8.928000, 6.522000, 12.532500, 0.706800,-17.220000
b'Gaia DR2 5351473386206898304', 0.022696, 157.782126,-58.441677, 0.143000, 0.041300,-5.766000, 3.018000, 12.868900, 1.615700, 35.790000
b'Gaia DR2 5351473553680186496', 0.027253, 157.714343,-58.437120, 1.046800, 0.018800,-5.685000, 1.322000, 13.645200, 0.264500,
b'Gaia DR2 5351473145675062912', 0.027424, 157.698287,-58.452719, 0.295800, 0.017400,-7.414000, 3.810000, 13.397000, 0.700700,
b'Gaia DR2 5351473317487420800', 0.027863, 157.802616,-58.452404, 0.385800, 0.017900,-8.118000, 6.339000, 13.816000, 0.951200,-15.860000
b'Gaia DR2 5351473145688665344', 0.029295, 157.695310,-58.450821, 0.192700, 0.029300,-5.604000, 3.157000, 11.578400, 0.298900,
b'Gaia DR2 5351473592365329408', 0.031258, 157.750110,-58.425708, 0.288000, 0.017100,-7.375000, 4.035000, 13.080800, 0.376800,
b'Gaia DR2 5351473661084801536', 0.031556, 157.743492,-58.425592, 0.394200, 0.017600,-7.334000, 2.558000, 13.190400, 0.172700,
b'Gaia DR2 5351473111328895360', 0.031743, 157.704861,-58.478143, 0.765400, 0.017700,-7.979000, 4.237000, 13.488700, 0.205800,
b'Gaia DR2 5351474279560047232', 0.033915, 157.694953,-58.439004, 2.466300, 0.029000, 5.160000,-3.873000, 11.722600, 0.254300,
b'Gaia DR2 5351472802091278720', 0.033934, 157.770282,-58.489202, 0.353900, 0.028700,-5.448000, 2.385000, 12.413800, 0.224200,
b'Gaia DR2 5351474279546485376', 0.034463, 157.693758,-58.438975, 2.377500, 0.033600, 4.991000,-3.998000, 12.149000, 0.263800, 8.000000
b'Gaia DR2 5351472935204995072', 0.035066, 157.708994,-58.484695, 1.124800, 0.018800,-11.895000, 10.691000, 13.454500, 0.368700,
b'Gaia DR2 5351473214408182912', 0.035598, 157.810274,-58.473571, 0.523100, 0.017700,-7.325000, 2.994000, 13.685400, 0.168700,
b'Gaia DR2 5351473111328892928', 0.035659, 157.687944,-58.471645, 0.547200, 0.037700,-7.215000, 2.615000, 11.072200,-0.011500,
b'Gaia DR2 5351473661084806400', 0.036458, 157.740446,-58.420851, 0.603400, 0.034200,-7.307000, 2.455000, 11.290500, 0.022400,
b'Gaia DR2 5351473351847631360', 0.037332, 157.819824,-58.449108, 0.323100, 0.019300,-6.559000, 3.117000, 12.993500, 0.140900,
b'Gaia DR2 5351474275234871040', 0.042418, 157.681731,-58.434162, 0.568200, 0.020100,-8.889000, 2.594000, 13.497700, 0.221300,
b'Gaia DR2 5351426382080543616', 0.042676, 157.829762,-58.466129, 0.501600, 0.018300,-8.008000, 3.392000, 13.855400, 0.280500,
b'Gaia DR2 5351473008249658752', 0.043538, 157.685196,-58.484242, 0.194800, 0.030300,-8.821000, 3.536000, 13.767800, 1.265000,
b'Gaia DR2 5351474829315937920', 0.043668, 157.829172,-58.442999, 0.290400, 0.016600,-10.123000, 2.830000, 13.176800, 0.994200,
b'Gaia DR2 5351472802091277184', 0.044432, 157.785463,-58.497392, 1.358300, 0.029200,-13.769000, 8.223000, 11.109600, 0.238900, 27.650000
b'Gaia DR2 5351474898035426432', 0.046915, 157.787983,-58.414452, 0.329200, 0.028200,-7.096000, 3.369000, 12.464400, 0.175800,
b'Gaia DR2 5351474313919803264', 0.047936, 157.687934,-58.421732, 0.885400, 0.018700,-3.383000, 3.295000, 13.491600, 0.223600,
b'Gaia DR2 5351474279560058240', 0.048390, 157.681975,-58.424222, 0.187400, 0.028500,-5.986000, 2.549000, 11.666400, 0.247300,
b'Gaia DR2 5351475104193856256', 0.048605, 157.780642,-58.411069, 0.323700, 0.019900,-6.300000, 3.479000, 13.983200, 0.154800,
b'Gaia DR2 5351474928069718528', 0.049686, 157.801203,-58.415096, 0.766300, 0.029700,-6.423000, 1.437000, 12.355000, 0.069100,
b'Gaia DR2 5351475104193855488', 0.050873, 157.772177,-58.407410, 0.595100, 0.026600,-7.647000, 0.376000, 11.854100, 0.636400, 8.000000
b'Gaia DR2 5351474829315957376', 0.051012, 157.836081,-58.432956, 0.323000, 0.016300,-7.038000, 3.177000, 13.326800, 0.285400,
b'Gaia DR2 5351426279001305600', 0.051457, 157.833210,-58.484472, 1.331000, 0.030100,-6.312000, 0.853000, 12.050900, 0.181300,
b'Gaia DR2 5351472763406268416', 0.052673, 157.771267,-58.508453, 0.670800, 0.019400,-5.866000, 2.648000, 13.677700, 0.218700,
b'Gaia DR2 5351473935962614272', 0.054782, 157.646098,-58.450602, 0.951600, 0.029000,-10.235000, 3.477000, 11.583300, 0.078600,
b'Gaia DR2 5351473695444561536', 0.055144, 157.729443,-58.402893, 0.343600, 0.027000,-9.766000, 4.245000, 12.860000, 0.774500,-20.200000
b'Gaia DR2 5351473729804146048', 0.058787, 157.646261,-58.479537, 1.010600, 0.029200,-6.008000, 6.385000, 12.796500, 0.299300, 4.300000
b'Gaia DR2 5351474416999045248', 0.061287, 157.695950,-58.402644, 1.020100, 0.020400,-14.532000, 5.130000, 13.811100, 0.298900,
b'Gaia DR2 5351427825189601792', 0.062919, 157.870294,-58.455361, 0.241500, 0.018100,-6.133000, 0.694000, 13.432100, 1.107300, 14.050000
b'Gaia DR2 5351472660326994560', 0.062953, 157.776026,-58.518445, 0.404600, 0.025300,-8.028000, 5.110000, 12.977100, 0.669400,
b'Gaia DR2 5351425832324641536', 0.064074, 157.801632,-58.515094, 0.357600, 0.027700,-8.675000, 2.932000, 12.811900, 0.136700,
b'Gaia DR2 5351425832298637824', 0.065873, 157.793628,-58.518775, 0.315000, 0.027400,-6.573000, 3.243000, 13.479900, 0.034500,
b'Gaia DR2 5351425832324627200', 0.066630, 157.792973,-58.519706, 0.283600, 0.035700,-6.774000, 3.344000, 10.228000, 0.097000,
b'Gaia DR2 5351427859549361664', 0.067842, 157.878265,-58.446815, 0.292500, 0.017400,-5.387000, 1.138000, 13.807800, 0.829000, 2.240000
b'Gaia DR2 5351474550112595968', 0.069290, 157.649343,-58.412002, 0.571900, 0.030600,-7.679000, 0.878000, 11.830400, 0.646900,-26.580000
b'Gaia DR2 5351474382639293184', 0.072136, 157.667269,-58.399306, 0.273800, 0.019900,-6.493000, 3.441000, 13.491200, 0.273100,
b'Gaia DR2 5255397196867202560', 0.072165, 157.614157,-58.469411, 0.272300, 0.020600,-5.400000, 2.650000, 13.533600, 0.336800,
b'Gaia DR2 5351475001114686464', 0.072405, 157.849211,-58.406482, 0.588900, 0.019800, 0.597000,-3.428000, 13.870700, 0.334100,
b'Gaia DR2 5351427962628601984', 0.073623, 157.884467,-58.435176, 0.472300, 0.026100,-7.397000, 1.307000, 11.568300, 0.800200, 39.260000
b'Gaia DR2 5351474588798210560', 0.075763, 157.649991,-58.402208, 0.595400, 0.020300,-3.618000,-0.694000, 13.841200, 0.495200,
b'Gaia DR2 5351427653390938368', 0.075838, 157.894471,-58.450341, 0.688200, 0.026800,-7.177000, 3.717000, 12.638800, 0.092600,
b'Gaia DR2 5351428061386584192', 0.076981, 157.871259,-58.413345, 0.552700, 0.026400,-10.384000, 6.270000, 12.010900, 0.200000,
