DR2Name,_r,_RAJ2000,_DEJ2000,Plx,e_Plx,pmRA,pmDE,Gmag,BP-G,RV
b'Gaia DR2 5351495097236870784', 0.003018, 157.108346,-58.181984, 0.284600, 0.018700,-6.422000, 2.936000, 13.663600, 0.370500,
b'Gaia DR2 5351495101561100544', 0.006147, 157.098818,-58.178837, 0.474400, 0.023600,-3.523000,-0.219000, 14.406300, 0.305900,
b'Gaia DR2 5351495097236887680', 0.006409, 157.101619,-58.174859, 1.638800, 0.022900,-10.976000, 11.920000, 13.841100, 0.403700,
b'Gaia DR2 5351495067201366784', 0.011594, 157.130895,-58.183477, 0.201400, 0.023500,-4.589000, 3.000000, 14.394200, 0.363700,
b'Gaia DR2 5351495097236848512', 0.013151, 157.117689,-58.191778,-0.143100, 0.319200,-7.017000, 3.640000, 13.586900, 0.131200,
b'Gaia DR2 5351495131596647552', 0.013607, 157.115009,-58.165792, 0.522200, 0.021300,-7.915000, 4.243000, 13.648400, 0.121300,
b'Gaia DR2 5351495857475341824', 0.014594, 157.082776,-58.178826, 0.630000, 0.026400,-2.111000,-1.227000, 14.308800, 0.259800,
b'Gaia DR2 5351495513877972736', 0.015213, 157.130727,-58.168343, 0.377900, 0.023700,-5.820000, 1.681000, 14.111700, 0.129000,
b'Gaia DR2 5351494994156893440', 0.016208, 157.113133,-58.195347, 0.425100, 0.028800,-8.972000, 6.309000, 12.391200, 0.692600, 6.390000
b'Gaia DR2 5351495513877972608', 0.017005, 157.119397,-58.162848, 0.336100, 0.032100,-11.907000, 5.853000, 12.743900, 0.684300, 71.310000
b'Gaia DR2 5351495754396125056', 0.018397, 157.075679,-58.180508, 0.323400, 0.047800,-6.258000, 2.938000, 14.954600, 1.253400,
b'Gaia DR2 5351495513877971456', 0.018456, 157.110177,-58.160733, 0.099300, 0.040700,-6.890000, 3.988000, 14.627400, 1.252400,
b'Gaia DR2 5351495062877131392', 0.019462, 157.147178,-58.181554, 1.251500, 0.019500,-12.780000, 8.545000, 13.364100, 0.333700,-3.160000
b'Gaia DR2 5351495513877975808', 0.021306, 157.126610,-58.159651, 0.315900, 0.021100,-3.211000, 1.911000, 13.917800, 0.887900,
b'Gaia DR2 5351495513877976832', 0.021420, 157.133656,-58.161589, 0.516300, 0.034700,-7.039000, 2.351000, 14.291000, 0.021700,
b'Gaia DR2 5351494998481875328', 0.021472, 157.088593,-58.197299, 0.618000, 0.025800,-7.379000, 5.006000, 14.893100, 0.297700,
b'Gaia DR2 5351495754396119040', 0.021490, 157.081354,-58.194205, 0.681400, 0.025200,-13.823000, 7.173000, 14.808000, 0.297700,
b'Gaia DR2 5351495445158494464', 0.023305, 157.154136,-58.182912, 0.711400, 0.025300,-9.123000, 1.494000, 14.728400, 0.360600,
b'Gaia DR2 5351495032841623552', 0.024066, 157.136618,-58.198922, 0.297400, 0.018000,-7.150000, 3.625000, 13.356200, 0.238100,
b'Gaia DR2 5351495548237718272', 0.026413, 157.128753,-58.154601, 0.827600, 0.029200,-7.529000, 5.617000, 14.894700, 0.337900,
b'Gaia DR2 5351495926194820608', 0.027024, 157.066323,-58.165476, 0.394100, 0.027000,-6.784000, 2.692000, 14.809700, 1.114700,
b'Gaia DR2 5351495479518244096', 0.029333, 157.145336,-58.156325, 0.372200, 0.019700,-7.054000, 3.265000, 13.726400, 0.300900,
b'Gaia DR2 5351495032841621376', 0.029709, 157.138020,-58.205105, 0.730800, 0.020900,-10.455000, 0.359000, 13.773000, 0.301000,
b'Gaia DR2 5351494959797853824', 0.030033, 157.102778,-58.208943, 0.443400, 0.018800,-8.492000, 3.620000, 13.753700, 0.181700,
b'Gaia DR2 5351494964122132608', 0.030043, 157.078316,-58.203984, 0.388500, 0.122400,-4.535000, 1.346000, 14.253200, 0.248600,
b'Gaia DR2 5351494861042940928', 0.030444, 157.164529,-58.189899, 0.273700, 0.028500,-5.784000, 2.418000, 14.805600, 0.305500,
b'Gaia DR2 5351494929762401408', 0.031062, 157.121627,-58.209687, 0.628000, 0.024100,-10.727000, 2.452000, 14.670300, 0.294600,
b'Gaia DR2 5351495891835090944', 0.032594, 157.082524,-58.150120, 0.386100, 0.022300,-6.324000, 3.591000, 14.310300, 0.268300,
