DR2Name,_r,_RAJ2000,_DEJ2000,Plx,e_Plx,pmRA,pmDE,Gmag,BP-G,RV
b'Gaia DR2 5588806097778397696', 0.019281, 114.705819,-33.848237, 0.400300, 0.067600, 12.213000,-12.214000, 16.144900, 0.503400,
b'Gaia DR2 5588805749880774016', 0.019512, 114.672495,-33.862462, 0.223300, 0.141000,-0.529000, 1.596000, 18.263500, 0.344300,
b'Gaia DR2 5588805681161292032', 0.019682, 114.686788,-33.864474, 0.797400, 0.171100,-3.066000, 8.471000, 18.706200, 0.959800,
b'Gaia DR2 5588806402715889408', 0.019714, 114.666869,-33.830617, 1.041400, 0.146000,-3.117000, 12.716000, 18.342600, 1.194000,
b'Gaia DR2 5588805956039240832', 0.019787, 114.661585,-33.853685,-0.417100, 0.154800,-0.091000, 4.564000, 17.893100, 0.401800,
b'Gaia DR2 5588806059118422528', 0.020094, 114.696651,-33.861612,-0.043700, 0.077700,-0.870000, 2.091000, 17.234500, 0.842500,
b'Gaia DR2 5588806162197707520', 0.020289, 114.705532,-33.837127, 0.216900, 0.369500,-4.952000, 4.690000, 19.297500, 0.379400,
b'Gaia DR2 5588806162197736704', 0.020357, 114.694891,-33.827209, 0.224300, 0.221000, 0.340000, 0.992000, 18.954000, 0.786000,
b'Gaia DR2 5588806372647454464', 0.020432, 114.682269,-33.824584,-0.298700, 0.332600,-0.326000, 0.380000, 19.513200, 0.649900,
b'Gaia DR2 5588806063418663040', 0.020461, 114.702682,-33.857345, 0.354000, 0.135600,-1.658000, 3.431000, 18.130800, 0.625800,
b'Gaia DR2 5588805960330683904', 0.020864, 114.658530,-33.849705, 0.256300, 0.434600,-0.134000, 1.036000, 19.906600,-0.098400,
b'Gaia DR2 5588806029059108736', 0.020900, 114.662263,-33.833174, 0.743200, 0.336400, 1.051000, 1.175000, 19.543900, 0.787400,
b'Gaia DR2 5588806024758755328', 0.020919, 114.660524,-33.835601,-0.176700, 0.297200,-0.654000, 4.319000, 18.950800, 0.836800,
b'Gaia DR2 5588805754170904064', 0.021134, 114.674261,-33.864870, 0.241400, 0.093200,-2.799000, 4.961000, 17.451100, 0.625400,
b'Gaia DR2 5588805749880769024', 0.021161, 114.676038,-33.865375, 0.237800, 0.186600,-2.354000, 4.124000, 18.592900, 0.534200,
b'Gaia DR2 5588806372647429760', 0.021170, 114.693969,-33.825902, 0.148500, 0.461000,-3.158000, 3.150000, 19.911000, 0.644700,
b'Gaia DR2 5588806059118428800', 0.021304, 114.702336,-33.859118, 1.391100, 0.250300,-14.465000, 8.022000, 19.045200, 1.246800,
b'Gaia DR2 5588805681161290624', 0.021357, 114.680201,-33.866245, 0.014500, 0.100800, 4.398000, 1.630000, 17.705400, 0.784300,
b'Gaia DR2 5588805960339466496', 0.021521, 114.657525,-33.848875, 0.707500, 0.021600,-2.164000, 3.298000, 14.162600, 0.305900,
b'Gaia DR2 5588806097778575360', 0.021528, 114.708355,-33.849537,-0.012200, 0.279100,-1.118000, 1.648000, 19.258400, 0.810700,
b'Gaia DR2 5588805685452739456', 0.021633, 114.686760,-33.866426, 0.072100, 0.150100,-1.925000, 2.723000, 18.414300, 0.481600,
b'Gaia DR2 5588806162197707648', 0.021635, 114.706514,-33.835677, 0.342500, 0.189400,-1.764000, 1.451000, 18.692600, 0.759200,
b'Gaia DR2 5588805681161288320', 0.021776, 114.685339,-33.866710, 0.171100, 0.034700,-2.387000, 3.051000, 15.589300, 0.406200,
b'Gaia DR2 5588805960339466240', 0.022250, 114.656286,-33.846647, 0.627500, 0.196800, 0.622000,-0.312000, 18.660100, 0.586700,
b'Gaia DR2 5588806093478203648', 0.022383, 114.709845,-33.847041, 0.498400, 0.188400, 0.169000, 1.304000, 18.687300, 0.883800,
b'Gaia DR2 5588805685452741504', 0.022636, 114.686076,-33.867504, 0.145700, 0.065700,-0.347000, 1.341000, 16.900200, 0.839500,
b'Gaia DR2 5588806097778574080', 0.022651, 114.710040,-33.841975,-0.127300, 0.498800,-1.237000, 0.510000, 19.663600, 0.653500,
b'Gaia DR2 5588805681161993728', 0.022657, 114.683708,-33.867677, 0.033500, 0.133300,-2.836000, 4.992000, 18.065500, 0.615700,
b'Gaia DR2 5588806368356171392', 0.023083, 114.690593,-33.822804, 0.180700, 0.382800,-0.205000, 0.936000, 19.697000, 0.779000,
b'Gaia DR2 5588806402715890304', 0.023129, 114.661591,-33.830237, 0.274500, 0.481100,-1.432000, 1.711000, 19.835100, 0.679100,
b'Gaia DR2 5588806407016053888', 0.023165, 114.666981,-33.826061, 0.061200, 0.051100,-1.333000, 2.207000, 16.386300, 0.847700,
b'Gaia DR2 5588806063414867328', 0.023274, 114.702150,-33.862016, 0.672500, 0.428800,-0.721000, 2.140000, 19.627200, 0.543300,
b'Gaia DR2 5588806265276944768', 0.023284, 114.701484,-33.827500, 0.064000, 0.431300,-0.624000, 1.240000, 19.721900, 0.771300,
