Name                  ;Cns ; RA          ; De         ;Wv   ;Typ   ;   Diam;   Dist;    pmRA;    pmDe;    RV  ; References          ;Comments
Theia 23              ;Ser ;278.22350660 ; -2.9387278 ;Op   ;Str   ; 1208.2;    433;    2.15;   -8.48;   -9.26; 2019AJ....158..122K ;includes Ser far-South, Ser Main, ?Ser Northeast
Sgr OB1C              ;Sgr ;270.76146860 ;-22.7518200 ;Op   ;OC    ;   93.4;   1274;    0.41;   -1.25;        ; Alessi (Gaia DR2)   ;poss matches: NGC 6531, NGC 6514
Sgr OB4               ;Sgr ;273.81520690 ;-18.9588415 ;Op   ;OC    ;  115.0;   1908;    0.39;   -1.64;        ; Alessi (Gaia DR2)   ;poss matches: Polakis 1, FoF 2160, FoF 288, FoF 2159
Theia 407             ;Sgr ;283.17207060 ;-19.8816826 ;Op   ;Str   ;  332.3;    729;   -1.47;   -5.74;   13.15; 2019AJ....158..122K ;includes UPK 13, Collinder 394, NGC 6716
UCrA                  ;Sgr ;290.00000000 ;-37.0000000 ;Op   ;YAs   ;  480.0;    148;        ;        ;        ; Alessi              ;check - missing PMs
Theia 7               ;Tau ; 67.03066600 ;+25.9389955 ;Op   ;Asc   ;  635.3;    136;    8.17;  -22.37;   16.12; 2019AJ....158..122K ;includes HMAC 7, HMAC 14, HMAC 16, HMAC 17, Taurus VIIIa
Taurus VI B           ;Tau ; 68.13250000 ;+17.5194440 ;IR   ;YAs   ;  340.0;    167;        ;        ;        ; Alessi              ;check - missing PMs
Tau-Aur T Assoc       ;Tau ; 68.13750000 ;+26.0769440 ;IR   ;YAs   ; 1560.0;    135;        ;        ;        ; Alessi              ;BDB 151, Tau R2, ?Taurion
Taurus XI B           ;Tau ; 76.63666700 ;+24.7652780 ;IR   ;YAs   ;   96.0;    240;        ;        ;        ; Alessi              ;check - missing PMs
Taurion               ;Tau ; 85.42127320 ;+18.1736968 ;Op   ;OC    ; 1941.7;    195;    2.55;  -14.78;        ; Alessi (Gaia DR2)   ;poss matches: Tau-Aur T Assoc, Theia 116, Theia 370
Theia 707             ;UMi ;241.81437470 ;+75.1803884 ;Op   ;Str   ; 3462.7;    405;    1.27;   -3.84;  -17.72; 2019AJ....158..122K ;larger than 1 radian
Theia 22              ;Vel ;121.34369860 ;-46.6368204 ;Op   ;Str   ; 1145.8;    376;   -5.89;    9.00;   19.99; 2019AJ....158..122K ;many condensations
Escorial 26           ;Vel ;122.15908180 ;-48.3921890 ;Op   ;OC    ;  212.1;    386;   -8.23;    6.54;        ; Alessi (Gaia DR2)   ;poss matches: Pozzo 1, Vela Ring F, Vela Ring B, NGC 2547
FoF 2394              ;Vel ;122.24635010 ;-47.3905989 ;Op   ;OC    ;  320.3;    360;   -6.33;    9.28;        ; arXiv:1910.12600v1  ;?contains Vel Ring B, Pozzo 1, BBJ 5
Theia 99              ;Vel ;123.30190880 ;-46.9351400 ;Op   ;Str   ; 1827.0;    459;   -8.72;    8.22;   25.20; 2019AJ....158..122K ;many possible matches
Escorial 28           ;Vel ;123.39607780 ;-46.3177070 ;Op   ;OC    ;   80.9;    358;   -7.33;    7.11;        ; Alessi (Gaia DR2)   ;poss matches: Pozzo 1, BBJ 5, Vela Ring B
Vel OB5               ;Vel ;124.14449210 ;-50.9988555 ;Op   ;OC    ; 1003.2;    260;  -11.97;    8.89;        ; Alessi (Gaia DR2)   ;poss matches: UPK 535, UPK 538
Theia 163             ;Vel ;126.36739950 ;-53.0013869 ;Op   ;Str   ; 2005.6;    299;   -9.19;    0.79;   24.96; 2019AJ....158..122K ;many condensations
Vel OB1A              ;Vel ;129.92799120 ;-45.9448145 ;Op   ;OC    ;  108.8;   1664;   -5.65;    4.62;        ; Alessi (Gaia DR2)   ;poss matches: UBC 482, FoF 2219, UBC 245
UPK 516               ;Vel ;132.07499850 ;-41.5786352 ;Op   ;Asc   ;  242.4;    941;   -5.61;    3.81;        ; 2019arXiv190706872S ;includes Collinder 197, Alessi 43
Theia 28              ;Vel ;132.60006740 ;-42.2537205 ;Op   ;Str   ;  724.4;    898;   -5.85;    4.73;   30.23; 2019AJ....158..122K ;includes FoF 2221, Collinder 197, Alessi 43, 
FoF 2149              ;Vel ;138.09947970 ;-44.8657623 ;Op   ;OC    ;   47.3;   2016;   -5.12;    3.94;        ; arXiv:1910.12600v1  ;includes UBC 484, UBC 485
Theia 149             ;Vel ;138.49001530 ;-51.7387849 ;Op   ;Str   ; 2393.0;    653;  -10.43;    7.38;   13.36; 2019AJ....158..122K ;check
OPD 34                ;Vel ;144.17296750 ;-41.9796206 ;Op   ;MG    ;  425.8;    140;  -33.19;   13.69;        ; 2017AJ....153..257O ;check - many poss IDs
OPD 53                ;Vel ;144.31563300 ;-51.7034117 ;Op   ;MG    ;  317.7;    124;  -19.50;    8.76;        ; 2017AJ....153..257O ;check - many poss IDs
Theia 508             ;Vel ;147.28317970 ;-43.2409026 ;Op   ;Str   ; 2256.2;    129;  -37.78;   13.66;   16.80; 2019AJ....158..122K ;check
Theia 143             ;Vel ;148.42150100 ;-52.8405399 ;Op   ;Str   ; 2100.1;    433;  -13.98;    3.79;   15.67; 2019AJ....158..122K ;check
Theia 453             ;Vel ;150.71567940 ;-55.6999549 ;Op   ;Str   ; 2720.4;    483;  -12.69;    6.23;   16.02; 2019AJ....158..122K ;check
Theia 38              ;Vul ;290.52848280 ;+22.3981974 ;Op   ;Asc   ;  503.9;    496;    1.06;   -5.96;   -5.70; 2019AJ....158..122K ;includes UPK 67, UPK 70, UPK 71
Theia 259             ;Vul ;295.58995260 ;+24.0324583 ;Op   ;Str   ;  605.5;    597;   -0.01;   -3.42;  -16.43; 2019AJ....158..122K ;2 condensations
Theia 316             ;Vul ;296.28055700 ;+21.1111105 ;Op   ;Str   ; 2729.3;    481;   -1.60;   -2.29;  -26.18; 2019AJ....158..122K ;many condensations
Theia 419             ;Vul ;298.95297630 ;+28.0288160 ;Op   ;MG    ;  264.6;    836;   -0.89;   -5.10;   -7.96; 2019AJ....158..122K ;includes UPK 90, UPK 87
Theia 254             ;Vul ;310.46147740 ;+24.8920790 ;Op   ;Str   ; 1732.2;    534;    3.88;   -4.79;   -2.41; 2019AJ....158..122K ;many condensations
