Name                  ;Cns ; RA          ; De         ;Wv   ;Typ   ;   Diam;   Dist;    pmRA;    pmDe;    RV  ; References          ;Comments
Cep OB2B              ;Cep ;328.41594350 ;+62.0003210 ;Op   ;OC    ;  301.7;    946;   -2.88;   -1.91;        ; Alessi (Gaia DR2)   ;poss matches: Alessi-Teutsch 5, UBC 10B, UBC 10A, UPK 169
Theia 9               ;Cep ;329.56792030 ;+60.0957478 ;Op   ;Str   ;  617.3;    897;   -1.84;   -3.55;   -3.06; 2019AJ....158..122K ;4 condensations
Theia 157             ;Cep ;335.04681300 ;+59.6183387 ;Op   ;Str   ; 1246.8;    890;   -4.14;   -3.86;  -33.42; 2019AJ....158..122K ;5-6 condensations
Delta Cep Cl          ;Cep ;335.62500000 ;+56.5666670 ;Op   ;OB    ;  260.0;    272;        ;        ;        ; Alessi              ;Cep OB6
Theia 287             ;Cep ;341.14081670 ;+57.3439688 ;Op   ;Asc   ;  600.9;    832;   -0.35;    0.39;   -3.20; 2019AJ....158..122K ;includes UPK 192, UPK 180
Theia 32              ;Cep ;342.21768170 ;+67.6862714 ;Op   ;Asc   ;  565.3;    376;    6.80;   -0.73;  -15.77; 2019AJ....158..122K ;2 condensations
Cep OB3               ;Cep ;344.56634670 ;+62.9250104 ;Op   ;OC    ;  290.2;    890;   -1.44;   -2.12;        ; Alessi (Gaia DR2)   ;poss matches: Theia 4, FoF 2249, Theia 50, Theia 27, UBC 178
MAF 2                 ;Cet ; 34.61875000 ; -4.2325000 ;Op   ;Str   ;  840.0;    118;        ;        ;        ; arXiv:1901.06387v1  ;check - missing PMs
Theia 2               ;Cha ;167.55293690 ;-76.6881462 ;Op   ;Asc   ;  419.3;    206;  -20.45;    0.50;    9.93; 2019AJ....158..122K ;includes Cha I South, Cha I North
Theia 353             ;Cir ;221.08002180 ;-55.9139305 ;Op   ;Str   ; 2332.4;    773;   -5.75;   -4.51;  -17.27; 2019AJ....158..122K ;many condensations
Theia 452             ;Cir ;223.95574610 ;-66.2635214 ;Op   ;Str   ; 3448.7;    461;   -5.44;   -4.65;    3.54; 2019AJ....158..122K ;many condensations
Theia 89              ;Cir ;229.93547610 ;-60.7235113 ;Op   ;Asc   ;  278.9;    828;   -2.88;   -4.03;    1.23; 2019AJ....158..122K ;includes ASCC 79, UPK 610
Columba Assoc         ;Col ; 81.76000000 ;-35.1088890 ;Op   ;YAs   ; 2400.0;     82;        ;        ;        ; Alessi              ;check - missing PMs
Extended R CrA Assoc  ;CrA ;273.00000000 ;-39.0000000 ;Op   ;YAs   ; 1920.0;    100;        ;        ;        ; Alessi              ;many poss matches
Cru OB1E              ;Cru ;180.16598490 ;-63.0865258 ;Op   ;OC    ;   57.9;   2833;   -5.74;    0.58;        ; Alessi (Gaia DR2)   ;poss matches: UBC 515, FoF 1591, NGC 4052
