Name                  ;Cns ; RA          ; De         ;Wv   ;Typ   ;   Diam;   Dist;E(B-V);   Age;    pmRA;    pmDe;   RV   ; Reference           ;Aliases
Aladin_6              ;Cru ;192.17833300 ;-62.9641670 ;Op   ;OC    ;    7.0;   3272;      ;      ;   -5.72;   -0.48;        ; Alessi (Gaia DR2)   ;
Aladin_7              ;Cru ;193.28333300 ;-62.7077780 ;Op   ;OC    ;    2.2;   2933;      ;      ;   -6.58;   -0.45;        ; Alessi (Gaia DR2)   ;
Aladin_A              ;Sct ;280.40416700 ; -6.4666670 ;Op   ;OC    ;    4.4;   3400;      ;      ;   -1.22;   -3.49;        ; Alessi (Gaia DR2)   ;
Aladin_D              ;Sct ;278.78250000 ; -8.0888890 ;Op   ;OC    ;    8.0;   2393;      ;      ;   -0.72;   -2.62;        ; Alessi (Gaia DR2)   ;
Aladin_E              ;Sct ;275.72416670 ;-13.1688889 ;Op   ;OC    ;    5.5;   2041;      ;      ;   -5.60;   -0.30;        ; Alessi (Gaia DR2)   ;ALS 4988 Cl
Aladin_X              ;Ser ;274.55375000 ;-15.6008333 ;Op   ;OC    ;    5.0;   2101;      ;      ;   -0.69;   -2.35;        ; Alessi (Gaia DR2)   ;
Alessi_1              ;Cas ; 13.34300000 ;+49.5360000 ;Op   ;OC    ;   29.9;    719;  0.10;  8.88;    6.54;   -6.25;        ; 2020A&A...633A..99C ;LeDrew 1, TC 0053+4934, Santa 21, Kupco 8, Theia 1254, UPK 245
Alessi_10             ;Aql ;301.23300000 ;-10.5550000 ;Op   ;OC    ;   31.9;    448;  0.22;  8.20;    1.47;   -7.88;        ; 2020A&A...633A..99C ;LeDrew 3
Alessi_100            ;Aur ; 87.01265190 ;+35.2421373 ;Op   ;OC    ;   24.0;    810;      ;      ;    1.40;   -5.80;        ; Alessi (Gaia DR2)   ;
Alessi_106            ;CMa ;102.42083330 ;-24.1113889 ;Op   ;OC    ;    5.0;    214;  0.02;  8.75;   -0.15;  -13.28;        ; Alessi (Gaia DR2)   ;
Alessi_108            ;Del ;307.42461960 ;+19.4732502 ;Op   ;OC    ;   48.0;    560;      ;      ;    3.62;   -4.14;        ; Alessi (Gaia DR2)   ;
Alessi_109            ;UMa ;171.70708330 ;+63.8375000 ;Op   ;OC    ;  280.0;    244;  0.09;  8.50;   11.80;    2.00;        ; Alessi (Gaia DR2)   ;
Alessi_112            ;Pup ;122.18333330 ;-42.0727778 ;Op   ;OC?   ;   20.0;    868;      ;      ;   -5.01;    3.55;        ; Alessi (Gaia DR2)   ;
Alessi_12             ;Vul ;310.87500000 ;+23.8710000 ;Op   ;OC    ;   81.8;    551;  0.08;  7.76;    4.30;   -4.64;        ; 2020A&A...633A..99C ;LeDrew 2, UPK 95, FoF 2391
Alessi_13             ;For ; 51.76200000 ;-35.8210000 ;Op   ;OC    ;  163.3;    104;      ;  8.70;   36.33;   -4.71;        ; 2020A&A...633A..99C ;Chi-2 For, OPD 19, Harrington 2, Slotegraaf 3
Alessi_137            ;Aqr ;357.91583330 ;-18.6905556 ;Op   ;OC    ;   92.0;    102;  0.04;  8.36;   27.20;   -2.90;        ; Alessi (Gaia DR2)   ;Alessi 231, in MAF 4
Alessi_15             ;Mon ;100.76700000 ; +1.6720000 ;Op   ;OC    ;    1.0;  10753;  0.42;  9.19;   -0.18;    0.47;        ; 2020A&A...633A..99C ;
Alessi_154            ;Sct ;281.90833330 ; -6.6766667 ;Op   ;OC?   ;   28.0;   3953;      ;      ;   -1.62;   -4.38;        ; Alessi (Gaia DR2)   ;
Alessi_16             ;Mon ;100.89000000 ; +2.1750000 ;Op   ;OC    ;    9.0;   3406;  0.62;  8.65;   -0.33;   -0.73;        ; Alessi (Gaia DR2)   ;
Alessi_163_B          ;Mus ;170.16916670 ;-70.8450000 ;Op   ;OB?   ;  242.0;    285;      ;  8.42;  -21.95;   -1.70;        ; Alessi (Gaia DR2)   ;?HIP 54833 Assoc
Alessi_17             ;Pup ;113.85300000 ;-15.0980000 ;Op   ;OC    ;    2.6;   3788;  0.44;  8.22;   -1.53;    1.56;        ; 2020A&A...633A..99C ;
