TODO: get all the true references behind 'BDCC' and padronize them all to bibcode format

Name                     ; Reference           ;E(B-V);  log_t
ASCC 129                 ; 2017AstBu..72..257L ; 0.053;  8.700
ASCC 129                 ; Kharchenko+ 2013    ; 0.300;  9.050
ASCC 13                  ; 2016DAML            ; 0.20 ;  7.71 
ASCC 13                  ; 2019 Bossini        ; 0.219;  7.647
ASCC 13                  ; Kharchenko+ 2013    ; 0.200;  7.710
ASCC 130                 ; 2016DAML            ; 0.52 ;  7.03 
ASCC 130                 ; Kharchenko+ 2013    ; 0.600;  7.241
ASCC 14                  ; 2016DAML            ; 0.18 ;  8.61 
ASCC 14                  ; Kharchenko+ 2013    ; 0.371;  8.530
ASCC 15                  ; 2016DAML            ; 0.28 ;  8.60 
ASCC 15                  ; Kharchenko+ 2013    ; 0.389;  8.685
ASCC 16                  ; 2019 Bossini        ; 0.030;  7.047
ASCC 16                  ; Kharchenko+ 2013    ; 0.021;  7.000
ASCC 16                  ; Kos+ 2019           ;      ;  7.114
ASCC 17                  ; 2016DAML            ; 0.32 ;  7.12 
ASCC 17                  ; Kharchenko+ 2013    ; 0.371;  7.265
ASCC 18                  ; 2016DAML            ; 0.06 ;  7.12 
ASCC 18                  ; Kharchenko+ 2013    ; 0.062;  7.150
ASCC 18                  ; Kos+ 2019           ;      ;  7.106
ASCC 19                  ; 2016DAML            ; 0.01 ;  7.64 
ASCC 19                  ; 2019 Bossini        ; 0.018;  7.086
ASCC 19                  ; Kharchenko+ 2013    ; 0.052;  7.500
ASCC 2                   ; 2016DAML            ; 0.10 ;  8.83 
ASCC 2                   ; Kharchenko+ 2013    ; 0.500;  8.870
ASCC 20                  ; 2016DAML            ; 0.04 ;  7.35 
ASCC 20                  ; Kharchenko+ 2013    ; 0.062;  7.000
ASCC 20                  ; Kos+ 2019           ;      ;  7.327
ASCC 21                  ; 2019 Bossini        ; 0.038;  7.032
ASCC 21                  ; Kharchenko+ 2013    ; 0.029;  7.110
ASCC 21                  ; Kos+ 2019           ;      ;  7.041
ASCC 21 B                ; Kos+ 2019           ;      ;  7.106
ASCC 22                  ; 2019 Bossini        ; 0.177;  8.557
ASCC 22                  ; Kharchenko+ 2013    ; 0.198;  8.455
ASCC 23                  ; 2016DAML            ; 0.07 ;  8.45 
ASCC 23                  ; 2019 Bossini        ; 0.091;  8.480
ASCC 23                  ; Kharchenko+ 2013    ; 0.100;  8.485
ASCC 24                  ; 2016DAML            ; 0.14 ;  6.96 
ASCC 24                  ; Kharchenko+ 2013    ; 0.146;  7.300
ASCC 25                  ; 2016DAML            ; 0.16 ;  8.86 
ASCC 25                  ; Kharchenko+ 2013    ; 0.333;  9.100
ASCC 26                  ; 2016DAML            ; 0.13 ;  8.09 
ASCC 26                  ; Kharchenko+ 2013    ; 0.129;  8.150
